Location,Parking Spaces,Toilets,Baths,Price
Lekki,1,4,4,500000.0
VI,0,4,3,3500000.0
Lekki,0,4,3,5000000.0
VI,3,4,3,4500000.0
Ikoyi,25,4,3,15000000.0
Magodo,3,4,3,1500000.0
VI,0,4,3,10000000.0
VI,2,4,3,7000000.0
Lekki,2,4,3,6500000.0
Ikorodu,0,4,3,350000.0
Ikoyi,15,4,4,10000000.0
Lekki,0,0,0,2900000.0
Lekki,2,4,3,2800000.0
Ajah,9,4,3,900000.0
Lekki,2,4,3,3000000.0
Ajah,0,4,3,1400000.0
Lekki,0,4,3,2500000.0
Ikoyi,0,4,3,14000000.0
VI,0,4,3,12000000.0
Ikoyi,0,4,3,4000000.0
Ikoyi,3,4,3,6000000.0
Ikeja,0,0,0,1400000.0
Ojodu,0,0,0,1500000.0
City,3,4,4,
Ikoyi,0,4,3,4000000.0
Lekki,15,4,4,1000000.0
Lekki,2,0,3,3500000.0
VI,2,4,4,4500000.0
Ajah,2,3,2,1300000.0
Ikoyi,3,4,3,10000000.0
Lekki,0,4,3,4000000.0
Ajah,0,4,3,500000.0
Agege,2,4,3,950000.0
Lekki,2,4,3,2800000.0
VI,0,4,3,3500000.0
Ikeja,0,4,3,1000000.0
Ikeja,10,4,4,800000.0
VI,0,4,3,15000000.0
Ikoyi,0,4,3,13500000.0
VI,0,3,4,4000000.0
Ikoyi,0,4,3,15000000.0
Ikoyi,0,4,3,13000000.0
Oshodi,0,0,0,700000.0
VI,0,4,3,4000000.0
Lekki,0,4,3,2500000.0
Lekki,2,3,2,3000000.0
Ikoyi,2,4,3,5000000.0
Ikoyi,3,4,3,4000000.0
Ikoyi,2,4,3,4000000.0
Lekki,2,4,3,2000000.0
Ikoyi,2,4,3,14000000.0
Lekki,0,3,2,2500000.0
Ojodu,0,4,3,700000.0
Ikoyi,0,4,3,9000000.0
Lekki,2,4,3,2800000.0
VI,0,4,3,4000000.0
Lekki,3,4,3,2200000.0
Ikeja,0,4,3,800000.0
Yaba,0,4,3,2000000.0
Ajah,8,4,3,1500000.0
Lekki,2,4,3,3000000.0
Surulere,0,0,0,2000000.0
Ikoyi,0,4,3,15000000.0
VI,0,4,3,4000000.0
Ikoyi,2,4,3,7000000.0
Ikoyi,0,4,3,6000000.0
VI,2,4,3,15000000.0
